,LITHOLOGY
10441,SandstoneShale
9731,Sandstone
6748,Sandstone
392,Sandstone
3179,Sandstone
10244,Tuff
5845,Marl
4721,Sandstone
12003,Limestone
7973,Tuff
11430,Limestone
7732,Sandstone
3608,SandstoneShale
8803,Limestone
3907,Sandstone
11517,Limestone
11468,Limestone
7049,SandstoneShale
2574,Limestone
3337,Sandstone
73,Sandstone
8327,Sandstone
314,Sandstone
4979,SandstoneShale
3652,Sandstone
13658,Sandstone
10527,Sandstone
13334,Sandstone
11941,Limestone
3043,SandstoneShale
4058,SandstoneShale
3374,SandstoneShale
930,Limestone
2906,Marl
9598,Limestone
11005,Sandstone
149,Limestone
12497,Sandstone
2876,Sandstone
12654,Sandstone
2543,Marl
4745,SandstoneShale
10662,Sandstone
5405,Sandstone
5156,Sandstone
1072,Limestone
5709,Sandstone
5418,Sandstone
12740,Coal
9298,Limestone
10639,Sandstone
5547,Sandstone
1559,Marl
2614,Marl
3733,SandstoneShale
12426,Sandstone
7755,Sandstone
2,SandstoneShale
10278,Tuff
3482,Sandstone
5183,Sandstone
8542,Sandstone
10410,Tuff
9151,Limestone
2322,Limestone
9812,Sandstone
1229,Chalk
5050,SandstoneShale
4619,SandstoneShale
11536,Limestone
9465,Limestone
2714,Marl
8590,Sandstone
253,SandstoneShale
1861,Marl
4312,Sandstone
11534,Limestone
49,Sandstone
6055,Sandstone
7403,SandstoneShale
4839,Sandstone
6463,Coal
11689,Limestone
1849,Chalk
9423,Limestone
2500,Limestone
4808,SandstoneShale
722,SandstoneShale
2186,Limestone
5499,Sandstone
9167,Limestone
3885,SandstoneShale
1070,Limestone
438,Sandstone
11804,Limestone
1807,Chalk
5649,Sandstone
3197,Sandstone
5149,SandstoneShale
13254,Sandstone
3856,SandstoneShale
8659,Sandstone
1754,Chalk
13140,Sandstone
12310,Sandstone
3899,Sandstone
3299,Limestone
7113,SandstoneShale
6097,Sandstone
10069,Sandstone
4419,Sandstone
2470,Limestone
6032,Sandstone
3144,Sandstone
3938,Sandstone
8156,Tuff
13581,Sandstone
2038,Chalk
13440,Sandstone
8305,Sandstone
646,Tuff
10167,Dolomite
102,Limestone
12831,SandstoneShale
8120,Tuff
10436,Tuff
152,Limestone
2890,Sandstone
1007,Limestone
5504,Sandstone
12114,Sandstone
3245,Limestone
12464,Sandstone
7540,Sandstone
10857,Sandstone
5661,Sandstone
3597,Sandstone
2971,SandstoneShale
8434,Sandstone
4847,SandstoneShale
36,Sandstone
4013,SandstoneShale
12074,SandstoneShale
4225,Sandstone
1658,Chalk
10214,Tuff
846,SandstoneShale
13377,Sandstone
359,Sandstone
2850,Marl
7795,Sandstone
1952,Chalk
9023,Sandstone
9553,Limestone
7761,Sandstone
7893,Sandstone
1580,Chalk
654,Tuff
8505,Sandstone
11521,Limestone
6682,Sandstone
5282,Sandstone
6848,Sandstone
471,Sandstone
12816,Sandstone
10545,Sandstone
10584,Sandstone
724,SandstoneShale
6973,SandstoneShale
12774,Coal
12785,SandstoneShale
3242,Limestone
4048,SandstoneShale
7865,Sandstone
8425,Sandstone
8232,Sandstone
6669,Sandstone
13194,Coal
7866,Sandstone
13051,Sandstone
10099,Sandstone
1588,Chalk
13335,Sandstone
5500,Sandstone
9577,Limestone
5135,SandstoneShale
1150,Chalk
4428,Sandstone
13646,Sandstone
6947,SandstoneShale
10534,Sandstone
12355,Sandstone
3498,SandstoneShale
7978,Tuff
7269,SandstoneShale
1699,Marl
7974,Tuff
299,SandstoneShale
8211,Limestone
6823,Sandstone
2524,Marl
5688,Sandstone
13446,SandstoneShale
12975,Coal
6119,Sandstone
9710,Sandstone
5765,Coal
1752,Chalk
4484,Sandstone
13929,Coal
7776,Sandstone
5568,Sandstone
4689,SandstoneShale
719,Limestone
3304,SandstoneShale
5375,Sandstone
1598,Chalk
12596,Sandstone
199,SandstoneShale
7684,Sandstone
1001,Limestone
5934,Sandstone
12553,Sandstone
845,SandstoneShale
9877,Sandstone
4383,Sandstone
6443,Coal
923,Limestone
11868,Limestone
5792,Marl
2281,Limestone
9786,Sandstone
8213,Limestone
10690,Sandstone
2290,Marl
7268,SandstoneShale
13308,Coal
5428,Sandstone
3947,Sandstone
12509,Sandstone
7772,Sandstone
3227,Sandstone
9472,Limestone
11038,Sandstone
1459,Chalk
13467,SandstoneShale
2261,Limestone
11375,Limestone
12799,Sandstone
6530,Sandstone
10157,Dolomite
11930,Limestone
2201,Limestone
6172,SandstoneShale
11696,Limestone
13713,Sandstone
1711,Chalk
10753,Sandstone
3910,Sandstone
7379,SandstoneShale
2421,Limestone
4478,Sandstone
3171,Sandstone
11358,Limestone
177,Limestone
1661,Chalk
11746,Limestone
5328,Sandstone
6843,Sandstone
10046,Sandstone
7698,Sandstone
6842,Sandstone
12979,Coal
1717,Chalk
10976,Sandstone
13241,Coal
2648,Marl
5210,Sandstone
12832,SandstoneShale
10853,Sandstone
12629,Coal
1573,Chalk
10174,Tuff
13527,Sandstone
5502,Sandstone
3562,SandstoneShale
2797,Marl
3261,Sandstone
13364,Sandstone
4392,SandstoneShale
13336,Sandstone
4094,SandstoneShale
5324,Sandstone
10536,Sandstone
364,Sandstone
13010,Sandstone
3985,Sandstone
11117,Limestone
7979,Tuff
3557,SandstoneShale
824,SandstoneShale
4429,Sandstone
7590,Sandstone
9325,Limestone
4226,Sandstone
5349,Sandstone
727,Limestone
607,Tuff
2977,SandstoneShale
4760,SandstoneShale
13086,Sandstone
6555,Sandstone
6488,Sandstone
5533,Sandstone
1709,Chalk
12413,Sandstone
8301,Sandstone
5239,Sandstone
2968,SandstoneShale
12352,Sandstone
7929,Tuff
4648,Sandstone
13400,SandstoneShale
11821,Limestone
11010,Sandstone
4798,SandstoneShale
9020,Sandstone
6733,Sandstone
176,Limestone
5322,Sandstone
13330,Coal
9125,Sandstone
2106,Limestone
8523,Sandstone
7529,Sandstone
4516,SandstoneShale
10928,Sandstone
6124,Sandstone
3149,Sandstone
7970,Tuff
3880,Sandstone
13488,Sandstone
2337,Limestone
3364,Sandstone
11719,Limestone
4308,Sandstone
6971,SandstoneShale
13788,Coal
11817,Limestone
7270,SandstoneShale
3875,Sandstone
12250,Sandstone
5961,Sandstone
13885,Coal
8903,Sandstone
6319,SandstoneShale
9478,Limestone
9594,Limestone
3183,Sandstone
11727,Limestone
8522,Sandstone
12200,Sandstone
8230,SandstoneShale
6742,Sandstone
13569,Sandstone
13274,Coal
2043,Chalk
7213,SandstoneShale
1790,Chalk
134,Limestone
5708,Sandstone
8397,Sandstone
1201,Chalk
10668,Sandstone
1805,Chalk
4108,SandstoneShale
336,Sandstone
2762,SandstoneShale
12874,Coal
8162,Tuff
5576,Sandstone
1359,Chalk
2727,SandstoneShale
10103,Sandstone
9633,Limestone
5565,Sandstone
11456,Limestone
11588,Limestone
2678,Marl
7813,Sandstone
8317,Sandstone
8752,SandstoneShale
3806,SandstoneShale
13893,Coal
11051,Limestone
609,Tuff
12424,Sandstone
10827,Sandstone
12768,SandstoneShale
2612,Marl
9232,Limestone
323,Sandstone
6382,Sandstone
6028,Sandstone
11528,Limestone
5875,SandstoneShale
6305,Sandstone
5369,Sandstone
4543,Sandstone
1870,Chalk
12931,Sandstone
7385,SandstoneShale
1189,Marl
13836,Sandstone
8556,Sandstone
12943,Sandstone
12683,Limestone
6027,Sandstone
11686,Limestone
6949,Sandstone
6542,Sandstone
1448,Chalk
11243,Limestone
153,Limestone
2891,Sandstone
6033,Sandstone
6704,Sandstone
7533,Sandstone
1062,Limestone
7671,Sandstone
8545,Sandstone
2966,SandstoneShale
4004,SandstoneShale
946,Limestone
6495,Sandstone
1782,Chalk
13925,Coal
261,Limestone
2910,Marl
2615,Marl
5438,Sandstone
3252,Sandstone
1854,Chalk
11740,Limestone
13366,Sandstone
6369,Coal
13452,SandstoneShale
8352,Sandstone
8951,Sandstone
13396,Coal
1202,Chalk
11716,Limestone
7434,SandstoneShale
7241,SandstoneShale
11924,Limestone
11881,Limestone
5333,Sandstone
12844,Sandstone
11783,Limestone
12223,Sandstone
3039,SandstoneShale
13504,Sandstone
1574,Chalk
10673,Sandstone
4130,SandstoneShale
1946,Chalk
2054,Chalk
5673,Sandstone
13862,Coal
743,SandstoneShale
11959,Limestone
12328,Sandstone
1084,Limestone
1268,Marl
7555,Sandstone
9707,Sandstone
1710,Chalk
1145,Chalk
8296,Sandstone
3133,Sandstone
11392,Limestone
8209,Limestone
4607,SandstoneShale
6433,Sandstone
5838,Marl
11503,Limestone
1366,Chalk
8997,Limestone
4625,Sandstone
9866,Sandstone
13357,Sandstone
1091,Limestone
12401,Sandstone
5345,Sandstone
8927,SandstoneShale
8981,Sandstone
2114,Marl
2017,Chalk
9540,Marl
1085,Limestone
9095,Sandstone
10111,Sandstone
13512,Sandstone
330,Sandstone
6714,Sandstone
13599,Sandstone
11942,Limestone
9648,Limestone
12923,Sandstone
3744,Sandstone
12174,Sandstone
2479,Limestone
8774,Sandstone
6010,Sandstone
3843,Sandstone
3837,Sandstone
5007,SandstoneShale
1692,Chalk
12970,Sandstone
1918,Chalk
3412,SandstoneShale
9585,Limestone
86,Sandstone
6489,Sandstone
1945,Chalk
12414,Sandstone
10688,Sandstone
12502,Sandstone
9168,Limestone
3890,Sandstone
1575,Chalk
5206,Sandstone
5676,Sandstone
9406,Limestone
1797,Chalk
10911,Sandstone
12194,Sandstone
5091,Sandstone
7204,SandstoneShale
7160,SandstoneShale
1821,Chalk
2643,Limestone
9974,Sandstone
674,Limestone
11095,Limestone
2238,Limestone
13593,Sandstone
13209,Coal
10227,Tuff
11733,Limestone
13483,Sandstone
7292,SandstoneShale
4675,SandstoneShale
4467,Sandstone
461,Sandstone
56,Sandstone
12835,Sandstone
3653,Sandstone
8917,SandstoneShale
2030,Chalk
6677,Sandstone
5490,Sandstone
12436,Sandstone
4341,Sandstone
7894,Sandstone
8684,Sandstone
8949,Sandstone
12807,SandstoneShale
13403,SandstoneShale
9876,Sandstone
5271,SandstoneShale
639,Tuff
7376,SandstoneShale
10685,Sandstone
7953,Tuff
13915,Sandstone
10747,Sandstone
12879,Coal
7831,Sandstone
12992,Sandstone
13175,Coal
2539,Marl
10272,Tuff
5442,Sandstone
787,Limestone
5574,Sandstone
8243,Sandstone
6615,Coal
11151,Limestone
7436,SandstoneShale
13383,Sandstone
9097,Sandstone
12940,Sandstone
6160,Sandstone
2343,Limestone
10594,Sandstone
10859,Sandstone
13016,Sandstone
12385,Sandstone
11250,Limestone
7511,Sandstone
8379,Sandstone
4935,SandstoneShale
8724,Sandstone
2943,SandstoneShale
11637,Limestone
672,Limestone
4961,Sandstone
12892,SandstoneShale
13811,Sandstone
3325,Sandstone
8612,Sandstone
7138,SandstoneShale
7136,SandstoneShale
11988,Limestone
12466,Sandstone
12752,SandstoneShale
7306,SandstoneShale
11522,Limestone
4282,Sandstone
7110,SandstoneShale
10729,Sandstone
4868,SandstoneShale
8933,Sandstone
408,Sandstone
811,SandstoneShale
6860,Sandstone
1326,Chalk
5791,Marl
13559,Sandstone
11262,Limestone
11799,Limestone
2492,Marl
5732,Sandstone
10962,Sandstone
9844,Sandstone
3358,SandstoneShale
529,Limestone
1160,Chalk
3642,SandstoneShale
1444,Chalk
12077,SandstoneShale
7503,Sandstone
12112,SandstoneShale
6569,Sandstone
6887,SandstoneShale
9484,Limestone
9234,Limestone
12721,Coal
8153,Tuff
7470,Sandstone
12861,Sandstone
11707,Limestone
11809,Limestone
4046,SandstoneShale
5702,Sandstone
776,SandstoneShale
1637,Chalk
9713,Sandstone
3929,SandstoneShale
8354,Sandstone
11492,Limestone
7862,Sandstone
11229,Limestone
3664,Sandstone
13284,Coal
2243,Limestone
2810,Marl
51,Sandstone
13156,Sandstone
4214,Sandstone
11591,Limestone
2230,Limestone
5164,Sandstone
5167,Sandstone
11235,Limestone
10472,SandstoneShale
7002,SandstoneShale
11067,Sandstone
6808,Sandstone
13412,Sandstone
11444,Limestone
6282,Sandstone
8555,Sandstone
12776,Coal
11387,Limestone
3027,SandstoneShale
10399,Tuff
6058,Sandstone
7514,Sandstone
518,Limestone
2184,Limestone
9612,Limestone
12198,Sandstone
697,Tuff
2335,Limestone
10625,Sandstone
3685,Sandstone
6008,Sandstone
4883,SandstoneShale
10550,Sandstone
1405,Chalk
10120,Sandstone
8391,Sandstone
11480,Limestone
4485,SandstoneShale
7678,Sandstone
7644,Sandstone
3799,SandstoneShale
2709,Sandstone
5003,SandstoneShale
7677,Sandstone
7786,Sandstone
9675,Limestone
2154,Limestone
5166,Sandstone
4285,Sandstone
8705,Sandstone
3620,SandstoneShale
8155,Tuff
9741,Sandstone
8492,Sandstone
10930,Sandstone
4078,SandstoneShale
1522,Chalk
4955,Sandstone
9493,Limestone
4083,SandstoneShale
8703,Sandstone
659,Tuff
12389,Sandstone
11186,Limestone
7499,Sandstone
3795,SandstoneShale
1853,Chalk
12503,Sandstone
10277,Tuff
3164,Sandstone
11556,Limestone
4412,Sandstone
7456,Sandstone
5581,Sandstone
2113,Marl
5220,Sandstone
7512,Sandstone
2460,Limestone
6260,Sandstone
10307,Tuff
12958,Sandstone
8526,Sandstone
8496,Sandstone
8350,Sandstone
10784,Sandstone
1354,Chalk
8640,Sandstone
13325,Coal
4750,SandstoneShale
1712,Chalk
728,SandstoneShale
3792,SandstoneShale
8990,Sandstone
2472,Limestone
8958,Sandstone
9272,Limestone
10302,Tuff
10011,Sandstone
3215,Sandstone
12020,Coal
1720,Chalk
277,Sandstone
7231,SandstoneShale
1216,Chalk
8682,Sandstone
2547,Marl
7949,Tuff
661,Tuff
970,Limestone
5358,Sandstone
12922,Sandstone
4743,SandstoneShale
3992,Sandstone
8278,Sandstone
7251,SandstoneShale
6285,Sandstone
5982,Coal
2393,Limestone
8228,SandstoneShale
561,Limestone
556,Tuff
7495,Sandstone
2383,Limestone
6822,Sandstone
12406,Sandstone
12634,Coal
4640,SandstoneShale
10218,Tuff
10679,Sandstone
2562,Marl
7422,SandstoneShale
3615,Sandstone
10980,Sandstone
8786,Sandstone
12220,Sandstone
6890,SandstoneShale
3749,SandstoneShale
2078,Chalk
9855,Sandstone
5212,Sandstone
13545,Sandstone
5971,Sandstone
6597,Coal
8539,Sandstone
10627,Sandstone
7047,SandstoneShale
8589,Sandstone
12608,Sandstone
1716,Chalk
11410,Limestone
2742,SandstoneShale
12965,Sandstone
7639,Sandstone
1560,Chalk
5148,SandstoneShale
10219,Tuff
8942,Sandstone
8893,Sandstone
5825,Marl
608,Tuff
5981,Coal
747,SandstoneShale
12561,Sandstone
5088,Sandstone
10515,Sandstone
8083,Tuff
377,Sandstone
8244,Sandstone
4079,SandstoneShale
10257,Tuff
5385,Sandstone
2841,Marl
9310,Limestone
12705,Limestone
3264,Sandstone
2406,Limestone
11007,Sandstone
296,Sandstone
10008,Sandstone
4637,SandstoneShale
2865,SandstoneShale
9881,Sandstone
179,Limestone
11667,Limestone
6594,Coal
10182,Tuff
8935,Sandstone
6094,Sandstone
11675,Limestone
13055,Sandstone
8717,Sandstone
439,Sandstone
2245,Limestone
4069,Sandstone
2266,Limestone
3944,SandstoneShale
4814,Sandstone
6325,SandstoneShale
1804,Chalk
6560,Sandstone
3986,Sandstone
7446,SandstoneShale
3631,SandstoneShale
9528,Marl
13544,Sandstone
9518,Limestone
1894,Chalk
4355,Sandstone
8460,Sandstone
2033,Chalk
4418,Sandstone
7615,Sandstone
3238,Sandstone
1597,Chalk
2713,Marl
12146,Sandstone
5387,Sandstone
7840,Sandstone
11612,Limestone
10306,Tuff
7154,SandstoneShale
2333,Limestone
12040,Coal
5893,SandstoneShale
11900,Limestone
34,Sandstone
2176,Limestone
13104,SandstoneShale
1270,Chalk
9459,Limestone
1739,Chalk
13582,Sandstone
12295,Sandstone
12351,Sandstone
5189,Sandstone
1650,Marl
3324,Sandstone
371,Sandstone
399,Sandstone
1532,Chalk
5064,Sandstone
8160,Tuff
13591,Sandstone
10821,Sandstone
517,Limestone
4145,Sandstone
11890,Limestone
13940,Coal
7912,Tuff
7405,SandstoneShale
4031,SandstoneShale
4520,Sandstone
9126,Sandstone
8361,Sandstone
9104,Sandstone
2834,Marl
12990,Sandstone
5864,SandstoneShale
5272,SandstoneShale
13936,Coal
12373,Sandstone
13888,Coal
13776,Sandstone
6621,Coal
8443,Sandstone
11692,Limestone
13428,Sandstone
9184,Limestone
8838,Sandstone
13084,Sandstone
545,Tuff
7460,Sandstone
870,SandstoneShale
2768,Sandstone
12733,Coal
12231,Sandstone
1301,Chalk
1839,Chalk
2306,Limestone
11723,Limestone
2586,Marl
10269,Tuff
6310,SandstoneShale
5904,SandstoneShale
551,Tuff
391,Sandstone
5674,Sandstone
7082,SandstoneShale
1306,Chalk
3208,Sandstone
5608,Sandstone
6656,Sandstone
764,SandstoneShale
3327,Sandstone
12896,SandstoneShale
8728,Sandstone
10402,Tuff
2009,Chalk
11364,Limestone
1502,Chalk
3593,SandstoneShale
6812,Sandstone
118,Limestone
8044,Tuff
590,Tuff
4140,SandstoneShale
4315,Sandstone
11231,Limestone
4381,Sandstone
2818,Marl
10754,Sandstone
1965,Chalk
13605,Sandstone
13508,Sandstone
12480,Sandstone
13419,Sandstone
853,SandstoneShale
13518,Sandstone
8400,Sandstone
3638,SandstoneShale
4853,SandstoneShale
606,Tuff
13275,Coal
10259,Tuff
10532,Sandstone
5348,Sandstone
8798,Limestone
13030,Sandstone
8678,Sandstone
13756,Sandstone
8611,Sandstone
9454,Limestone
4431,Sandstone
9425,Limestone
12368,Sandstone
13347,Sandstone
8298,Sandstone
13224,Sandstone
10154,Dolomite
13609,Sandstone
11822,Limestone
987,Limestone
11609,Limestone
9520,Marl
11251,Limestone
7622,Sandstone
5580,Sandstone
8508,Sandstone
4654,SandstoneShale
12662,Sandstone
11730,Limestone
3788,Sandstone
10937,Sandstone
4684,SandstoneShale
11026,Sandstone
4356,Sandstone
3113,Sandstone
11876,Limestone
11069,Sandstone
1676,Chalk
9861,Sandstone
5887,SandstoneShale
4746,SandstoneShale
8229,SandstoneShale
12719,Coal
9245,Limestone
7548,Sandstone
1083,Limestone
9649,Limestone
2425,Limestone
9965,Sandstone
5600,Sandstone
1998,Chalk
1772,Chalk
8915,SandstoneShale
13633,Coal
4792,Sandstone
834,SandstoneShale
9413,Limestone
9626,Limestone
564,Limestone
7089,SandstoneShale
7864,Sandstone
4871,SandstoneShale
3583,Sandstone
11573,Limestone
10866,Sandstone
10448,SandstoneShale
3341,SandstoneShale
4707,Sandstone
4199,Sandstone
10939,Sandstone
4040,SandstoneShale
12124,Sandstone
2863,SandstoneShale
3408,SandstoneShale
5534,Sandstone
5728,Sandstone
823,SandstoneShale
3902,SandstoneShale
752,SandstoneShale
5493,Sandstone
11960,Limestone
4272,Sandstone
12924,Sandstone
3571,Sandstone
12963,Sandstone
4769,SandstoneShale
6204,Sandstone
718,Limestone
8381,Sandstone
9937,Sandstone
6668,Sandstone
10332,Tuff
4885,SandstoneShale
7811,Sandstone
171,Limestone
12961,Sandstone
8587,Sandstone
8961,Sandstone
7063,SandstoneShale
5456,Sandstone
6590,Coal
8068,Tuff
10452,SandstoneShale
3919,Sandstone
6676,Sandstone
791,SandstoneShale
3863,Sandstone
2666,Marl
6727,Sandstone
8427,Sandstone
4150,Sandstone
11486,Limestone
9498,Limestone
5984,Sandstone
4588,Sandstone
2073,Chalk
8559,Sandstone
10588,Sandstone
2912,Marl
3435,SandstoneShale
13920,Sandstone
9494,Limestone
2248,Limestone
8299,Sandstone
1498,Chalk
6612,Coal
8210,Limestone
1889,Chalk
2790,Marl
2744,SandstoneShale
10917,Sandstone
9640,Limestone
3704,SandstoneShale
12208,Sandstone
918,Limestone
69,Sandstone
12540,Sandstone
8886,Sandstone
12953,Sandstone
10590,Sandstone
13064,Sandstone
7937,Tuff
11281,Limestone
5268,SandstoneShale
13028,Sandstone
3153,Sandstone
5230,Sandstone
5919,Sandstone
9638,Limestone
5372,Sandstone
10087,Sandstone
5745,Sandstone
10312,Tuff
3917,Sandstone
5227,Sandstone
11885,Limestone
4926,SandstoneShale
7255,SandstoneShale
6930,SandstoneShale
4370,SandstoneShale
10824,Sandstone
12887,Coal
220,SandstoneShale
11034,Sandstone
5181,Sandstone
1850,Chalk
9858,Sandstone
2247,Limestone
13305,Coal
7033,Limestone
5198,Sandstone
4286,Sandstone
11216,Limestone
982,Limestone
6891,SandstoneShale
8019,Tuff
2711,Marl
8793,Sandstone
13291,Coal
1492,Chalk
9805,Sandstone
5168,Sandstone
12986,Sandstone
8264,Sandstone
2814,Marl
13796,Coal
10720,Sandstone
11071,Sandstone
8081,Tuff
7287,SandstoneShale
276,Sandstone
8145,Tuff
516,Limestone
1238,Chalk
8314,Sandstone
2649,Marl
5686,Sandstone
3761,Sandstone
4279,SandstoneShale
4215,Sandstone
1171,Chalk
12897,SandstoneShale
9166,Limestone
6722,Sandstone
975,Limestone
6968,SandstoneShale
1697,Marl
2187,Limestone
6250,Sandstone
7737,Sandstone
12182,Sandstone
7697,Sandstone
5711,Sandstone
12132,Sandstone
10135,Dolomite
7068,SandstoneShale
614,Tuff
8224,SandstoneShale
1703,Chalk
892,Marl
1103,Limestone
8038,Tuff
2871,Sandstone
3137,Sandstone
8341,Sandstone
3766,SandstoneShale
2684,Marl
6955,SandstoneShale
10192,Tuff
13522,Sandstone
12017,Coal
7324,SandstoneShale
11306,Limestone
6539,Sandstone
294,Sandstone
10276,Tuff
3129,Sandstone
4436,Sandstone
10112,Sandstone
12988,Sandstone
13125,Sandstone
6553,Sandstone
8216,Limestone
8169,Tuff
4594,SandstoneShale
10411,Tuff
12233,Sandstone
3819,Sandstone
5090,Sandstone
13188,Sandstone
565,Limestone
6662,Sandstone
8447,Sandstone
4488,SandstoneShale
4179,SandstoneShale
7001,SandstoneShale
3770,Sandstone
6378,Sandstone
7135,SandstoneShale
11367,Limestone
10796,Sandstone
5234,Sandstone
8342,Sandstone
6570,Sandstone
10330,Tuff
7892,Sandstone
8515,Sandstone
13431,Sandstone
7146,SandstoneShale
5949,Sandstone
4753,SandstoneShale
12371,Sandstone
686,Limestone
4461,Sandstone
10082,Sandstone
12454,Coal
4672,SandstoneShale
4967,SandstoneShale
12417,Coal
6376,Sandstone
7109,SandstoneShale
9650,Limestone
13087,Sandstone
7474,Sandstone
7968,Tuff
5772,Marl
7567,Sandstone
4328,Sandstone
1535,Chalk
10424,Limestone
2855,Marl
13123,Sandstone
6341,Sandstone
7007,SandstoneShale
11619,Limestone
7863,Sandstone
4957,Sandstone
1307,Chalk
3984,Sandstone
5014,SandstoneShale
2416,Limestone
3493,SandstoneShale
10719,Sandstone
13660,Sandstone
13930,Coal
2828,Marl
1524,Chalk
8677,Sandstone
13671,Sandstone
10963,Sandstone
13956,Coal
4861,SandstoneShale
13550,Sandstone
1082,Limestone
4958,Sandstone
9070,Sandstone
2567,Marl
2462,Limestone
11664,Limestone
4742,SandstoneShale
4551,Sandstone
4986,Sandstone
3959,SandstoneShale
2376,Limestone
3542,Sandstone
11646,Limestone
6787,Sandstone
5240,Sandstone
10894,Sandstone
9113,Sandstone
1513,Chalk
12141,Sandstone
12430,Sandstone
9578,Limestone
8620,Sandstone
11238,Limestone
13111,SandstoneShale
4948,SandstoneShale
7004,SandstoneShale
12751,SandstoneShale
5900,SandstoneShale
11449,Limestone
4941,SandstoneShale
5868,SandstoneShale
4009,SandstoneShale
8345,Sandstone
12108,SandstoneShale
5085,SandstoneShale
11625,Limestone
2304,Limestone
1373,Chalk
3563,SandstoneShale
6710,Sandstone
8943,Sandstone
5622,Sandstone
12400,Sandstone
6302,SandstoneShale
5802,Marl
10574,Sandstone
4324,Sandstone
11939,Limestone
7933,Tuff
11685,Limestone
2725,SandstoneShale
7852,Sandstone
2145,Limestone
3473,SandstoneShale
5700,Sandstone
13751,Sandstone
2249,Limestone
1108,Limestone
11656,Limestone
11621,Limestone
12097,SandstoneShale
13091,Sandstone
7749,Sandstone
3395,SandstoneShale
6187,Sandstone
8335,Sandstone
5074,SandstoneShale
13217,Coal
3943,Sandstone
2530,Marl
3054,SandstoneShale
10893,Sandstone
8576,Sandstone
6277,Sandstone
12423,Sandstone
13534,Sandstone
8608,Sandstone
11901,Limestone
13555,Sandstone
8254,Sandstone
6322,SandstoneShale
1529,Chalk
1340,Chalk
415,Sandstone
7455,Sandstone
10524,Sandstone
10326,Tuff
9978,Sandstone
3148,Sandstone
8326,Sandstone
3888,Sandstone
13059,Sandstone
6084,Sandstone
5603,Sandstone
10413,Tuff
7913,Tuff
8458,Sandstone
3273,Sandstone
11015,Sandstone
7901,Sandstone
1950,Chalk
13003,Sandstone
7700,Sandstone
9999,Sandstone
13663,Sandstone
12369,Sandstone
13617,Sandstone
8470,Sandstone
7429,SandstoneShale
2348,Limestone
13372,Sandstone
2229,Limestone
7960,Tuff
10989,Sandstone
10043,Sandstone
11700,Limestone
12129,Sandstone
2404,Limestone
860,SandstoneShale
1504,Chalk
4940,SandstoneShale
11332,Limestone
10966,Sandstone
6750,Sandstone
13313,Sandstone
2715,Marl
11092,Limestone
1330,Chalk
8663,Sandstone
6355,SandstoneShale
11673,Limestone
10892,Sandstone
667,Tuff
274,Limestone
842,SandstoneShale
255,SandstoneShale
11788,Limestone
2832,Marl
12513,Sandstone
5215,Sandstone
9230,Limestone
3091,Sandstone
9951,Sandstone
11365,Limestone
2862,Marl
1775,Chalk
5223,Sandstone
13118,SandstoneShale
2771,Sandstone
5630,Sandstone
4595,SandstoneShale
1769,Chalk
708,Limestone
11864,Limestone
11672,Limestone
1940,Chalk
10040,Sandstone
12825,SandstoneShale
10498,Sandstone
2750,Sandstone
4152,Sandstone
5954,Sandstone
8453,Sandstone
7183,SandstoneShale
5950,Sandstone
11427,Limestone
12496,Sandstone
2663,Marl
12444,Coal
2946,SandstoneShale
11381,Limestone
10943,Sandstone
9351,Limestone
11699,Limestone
9894,Sandstone
9505,Limestone
9674,Limestone
4070,Sandstone
3349,SandstoneShale
4904,SandstoneShale
1634,Marl
4424,Sandstone
12209,Sandstone
9600,Limestone
3087,Sandstone
7170,SandstoneShale
470,Sandstone
12686,Limestone
7882,Sandstone
8277,Sandstone
9559,Limestone
3506,SandstoneShale
2214,Limestone
6186,Sandstone
8236,Sandstone
9283,Limestone
2914,Marl
4936,SandstoneShale
4473,Sandstone
8524,Sandstone
1158,Chalk
9185,Limestone
10032,Sandstone
1864,Chalk
4565,Sandstone
10704,Sandstone
4788,Sandstone
7767,Sandstone
1382,Chalk
11728,Limestone
2984,Limestone
8376,Sandstone
5907,SandstoneShale
7642,Sandstone
10699,Sandstone
10701,Sandstone
342,Sandstone
8596,Sandstone
6781,Sandstone
5595,Sandstone
13845,Coal
10019,Sandstone
2042,Chalk
13716,Sandstone
8781,Sandstone
8771,Sandstone
9727,Sandstone
554,Limestone
531,Limestone
3599,Sandstone
8755,SandstoneShale
8201,Limestone
8785,Sandstone
13151,Sandstone
6401,Sandstone
10885,Sandstone
13298,Coal
11104,Limestone
329,Sandstone
221,SandstoneShale
5048,SandstoneShale
10398,Tuff
4390,SandstoneShale
4173,Sandstone
4547,Sandstone
520,Limestone
12947,Sandstone
2787,Marl
11317,Limestone
2634,Marl
578,Tuff
2110,Limestone
11448,Limestone
6562,Sandstone
5480,Sandstone
11411,Limestone
1501,Chalk
4729,SandstoneShale
7425,SandstoneShale
12577,Sandstone
8622,Sandstone
4817,SandstoneShale
5517,Sandstone
444,Sandstone
3667,Sandstone
3092,Sandstone
4942,SandstoneShale
11482,Limestone
12883,Coal
4239,Sandstone
10703,Sandstone
6218,Sandstone
10794,Sandstone
5799,Marl
9162,Limestone
10783,Sandstone
7789,Sandstone
4432,Sandstone
10455,SandstoneShale
2555,Marl
55,Sandstone
12348,Sandstone
3459,Sandstone
